player_id,display_name,pos,team_short,cost_m,proj_horizon,proj_std,proj_per_match,selected_by_percent,form_numeric,availability_score,starting,captain
83,O.Dango,MID,BRE,6.0,82.43439348449706,1.4596097061172906,13.73906558074951,1.3,6.5,1.0,True,True
402,Aït-Nouri,DEF,MCI,6.0,59.66403277832295,0.06775633978968476,9.944005463053825,17.6,5.0,1.0,True,False
474,Schär,DEF,NEW,5.5,53.318839970107305,0.2301601371218993,8.886473328351217,2.7,4.5,1.0,True,False
470,Dúbravka,GKP,BUR,4.0,48.65168778989565,0.3182198977765423,8.108614631649274,34.1,4.0,1.0,True,False
390,Gravenberch,MID,LIV,5.5,43.241414422674495,0.440704193111048,7.2069024037790825,0.4,3.5,1.0,True,False
11,White,DEF,ARS,5.5,38.69374777693416,1.1768143451517652,6.448957962822361,0.7,3.0,0.375,True,False
158,Georginio,MID,BHA,5.9,37.270872295283866,1.2225403482500574,6.211812049213977,0.9,3.0,0.5625,True,False
59,Onana,MID,AVL,5.0,36.02293831010629,0.15996008844900805,6.003823051684382,1.7,3.0,0.375,True,False
329,Wilson,MID,FUL,5.5,36.013980586279004,0.1444030305711141,6.002330097713168,0.7,3.0,0.5625,True,False
342,Bogle,DEF,LEE,4.5,30.042645243508478,0.06774925596607836,5.007107540584746,0.2,2.5,1.0,True,False
654,Strand Larsen,FWD,WOL,6.5,23.714559786006387,0.051099587571448286,3.9524266310010643,3.8,2.0,0.5625,True,False
101,Kelleher,GKP,BRE,4.5,36.37626550641741,0.11652793576092245,6.062710917736235,10.4,3.0,1.0,False,False
252,Marc Guiu,FWD,SUN,4.5,6.252413954707554,0.11701184881563345,1.042068992451259,15.0,0.5,1.0,False,False
466,Zirkzee,FWD,MUN,5.9,0.03289763176673364,0.01116308807869742,0.0054829386277889395,0.4,0.0,1.0,False,False
193,Humphreys,DEF,BUR,4.0,0.03199330806446048,0.006196075418475205,0.005332218010743413,0.0,0.0,1.0,False,False
