player_id,display_name,pos,team_short,cost_m,proj_horizon,proj_std,proj_per_match,selected_by_percent,form_numeric,availability_score,starting,captain
32,Martinez,GKP,AVL,5.0,13.008000000000001,0.6,2.168,1.7,1.0,1.0,True,False
414,Foden,MID,MCI,8.0,6.99,0.3,1.165,1.5,0.5,1.0,True,False
421,Rodrigo,MID,MCI,6.4,6.75,0.3,1.125,0.6,0.5,1.0,True,False
20,Trossard,MID,ARS,6.9,6.27,0.3,1.045,0.3,0.5,0.5625,True,False
376,Gomez,DEF,LIV,5.0,6.27,0.3,1.045,0.1,0.5,1.0,True,True
596,Solanke,FWD,TOT,7.3,6.27,0.3,1.045,2.5,1.0,1.0,True,False
81,Kluivert,MID,BOU,7.0,6.0,0.3,1.0,0.6,0.5,1.0,True,False
87,Christie,MID,BOU,5.0,6.0,0.3,1.0,0.1,0.5,1.0,True,False
316,Robinson,DEF,FUL,5.0,6.0,0.3,1.0,0.7,0.5,1.0,True,False
252,Marc Guiu,FWD,SUN,4.5,6.0,0.3,1.0,15.0,0.5,1.0,True,False
542,Seelt,DEF,SUN,4.0,6.0,0.3,1.0,0.3,1.0,1.0,True,False
11,White,DEF,ARS,5.5,39.06,1.7999999999999998,6.51,0.7,3.0,0.375,False,False
101,Kelleher,GKP,BRE,4.5,18.0,0.8999999999999999,3.0,10.4,3.0,1.0,False,False
654,Strand Larsen,FWD,WOL,6.5,12.0,0.6,2.0,3.8,2.0,0.5625,False,False
230,Fofana,DEF,CHE,4.5,6.27,0.3,1.045,0.2,0.5,1.0,False,False
