player_id,display_name,pos,team_short,cost_m,proj_horizon,proj_std,proj_per_match,selected_by_percent,form_numeric,availability_score,starting,captain
83,O.Dango,MID,BRE,6.0,26.78,3.9,13.39,1.3,6.5,1.0,True,True
390,Gravenberch,MID,LIV,5.5,14.84,2.1,7.42,0.4,3.5,1.0,True,False
11,White,DEF,ARS,5.5,13.02,1.7999999999999998,6.51,0.7,3.0,0.375,True,False
158,Georginio,MID,BHA,5.9,12.288,1.7999999999999998,6.144,0.9,3.0,0.5625,True,False
402,Aït-Nouri,DEF,MCI,6.0,10.7575,1.5,5.37875,17.6,5.0,1.0,True,False
386,Mac Allister,MID,LIV,6.5,10.45,1.5,5.225,1.7,2.5,0.5625,True,False
474,Schär,DEF,NEW,5.5,9.351,1.3499999999999999,4.6755,2.7,4.5,1.0,True,False
470,Dúbravka,GKP,BUR,4.0,8.372000000000002,1.2,4.186000000000001,34.1,4.0,1.0,True,False
17,Ødegaard,MID,ARS,7.9,6.99,0.8999999999999999,3.495,2.6,3.0,0.375,True,False
38,Konsa,DEF,AVL,4.5,6.144,0.8999999999999999,3.072,14.4,1.5,1.0,True,False
654,Strand Larsen,FWD,WOL,6.5,4.0,0.6,2.0,3.8,2.0,0.5625,True,False
101,Kelleher,GKP,BRE,4.5,6.0,0.8999999999999999,3.0,10.4,3.0,1.0,False,False
230,Fofana,DEF,CHE,4.5,2.09,0.3,1.045,0.2,0.5,1.0,False,False
596,Solanke,FWD,TOT,7.3,2.09,0.3,1.045,2.5,1.0,1.0,False,False
252,Marc Guiu,FWD,SUN,4.5,2.0,0.3,1.0,15.0,0.5,1.0,False,False
